Convergency time
0h 35m 55s
0h 18m 14s
0h 20m 19s
0h 46m 2s
0h 4m 8s
0h 22m 41s
"0h 0m 52s, 0h 0m 40s, 0h 0m 39s"
"0h 3m 52s, 0h 7m 16s, 0h 6m 47s"
"0h 3m 41s, 0h 3m 43s, 0h 5m 53s"
"0h 0m 39s, 0h 0m 38s, 0h 0m 40s"
"0h 6m 39s, 0h 4m 8s, 0h 7m 9s"
"0h 5m 4s, 0h 3m 57s, 0h 3m 54s"
"0h 0m 40s, 0h 0m 41s, 0h 0m 39s"
"0h 6m 0s, 0h 3m 47s, 0h 6m 42s"
"0h 4m 18s, 0h 4m 34s, 0h 9m 32s"
"0h 0m 40s, 0h 0m 40s, 0h 0m 39s"
"0h 7m 40s, 0h 6m 19s, 0h 7m 30s"
"0h 9m 33s, 0h 6m 40s, 0h 9m 8s"
"0h 3m 48s, 0h 4m 6s, 0h 8m 57s, 0h 3m 58s, 0h 8m 38s"
"0h 8m 50s, 0h 4m 7s, 0h 4m 32s, 0h 4m 16s, 0h 4m 25s"
"0h 12m 9s, 0h 11m 16s, 0h 5m 25s, 0h 11m 30s, 0h 4m 36s"
"0h 4m 31s, 0h 5m 6s, 0h 5m 12s"
"0h 20m 40s, 0h 20m 4s, 0h 21m 16s"
"0h 17m 44s, 0h 18m 30s, 0h 18m 31s"
"0h 0m 44s, 0h 0m 45s, 0h 0m 44s"
"0h 10m 47s, 0h 10m 58s, 0h 10m 23s"
