Convergency time
0:32:50
0:17:57
0:17:51
0:43:23
0:03:24
0:30:18
"0:0:40,  0:0:40, 0:0:40"
"0:2:20, 0:2:21, 0:2:15"
"0:1:58, 0:2:12, 0:2:14"
"0:0:41, 0:0:42, 0:0:41"
"0:3:50, 0:3:46, 0:3:44"
"0:3:8, 0:3:17, 0:3:35"
"0:0:41, 0:0:40, 0:0:41"
"0:4:6, 0:3:59, 0:3:57"
"0:4:7, 0:3:49, 0:3:37"
"0:0:40, 0:0:39, 0:0:42"
"0:4:1, 0:4:0, 0:4:33"
"0:3:37, 0:3:57, 0:3:43"
"0:2:44, 0:2:30, 0:2:34"
"0:4:6, 0:4:4, 0:3:57"
"0:4:41, 0:4:48, 0:4:45"
"0:4:18, 0:4:23, 0:4:30"
"0:20:23, 0:20:13, 0:17:40, 0:20:31"
"0:17:58, 0:17:40, 0:18:2"
"0:1:6, 0:0:46, 0:0:44, 0:0:48, 0:0:46"
"0:10:21, 0:10:21, 0:10:19"
