Convergency time
0:35:55
0:18:14
0:20:19
0:46:02
0:04:08
0:22:41
"0:0:52, 0:0:40, 0:0:39"
"0:3:52, 0:7:16, 0:6:47"
"0:3:41, 0:3:43, 0:5:53"
"0:0:39, 0:0:38, 0:0:40"
"0:6:39, 0:4:8, 0:7:9"
"0:5:4, 0:3:57, 0:3:54"
"0:0:40, 0:0:41, 0:0:39"
"0:6:0, 0:3:47, 0:6:42"
"0:4:18, 0:4:34, 0:9:32"
"0:0:40, 0:0:40, 0:0:39"
"0:7:40, 0:6:19, 0:7:30"
"0:9:33, 0:6:40, 0:9:8"
"0:3:48, 0:4:6, 0:8:57, 0:3:58, 0:8:38"
"0:8:50, 0:4:7, 0:4:32, 0:4:16, 0:4:25"
"0:12:9, 0:11:16, 0:5:25, 0:11:30, 0:4:36"
"0:4:31, 0:5:6, 0:5:12"
"0:20:40, 0:20:4, 0:21:16"
"0:17:44, 0:18:30, 0:18:31"
"0:0:44, 0:0:45, 0:0:44"
"0:10:47, 0:10:58, 0:10:23"
