Convergency time
"0:40:8, 0:34:33, 0:37:7"
"0:22:19, 0:22:59, 0:22:2"
"0:22:25, 0:22:17, 0:21:57"
"0:50:5, 0:45:58, 0:45:56"
"0:3:40, 0:3:27, 0:3:38"
"0:39:43, 0:39:27, 0:30:16"
"0:0:39, 0:0:38, 0:0:39, 0:0:39, 0:0:38"
"0:5:38, 0:10:32, 0:8:44, 0:12:50, 0:2:49"
"0:4:50, 0:2:33, 0:2:50, 0:2:32, 0:2:30"
"0:0:39, 0:0:39, 0:0:39, 0:0:38, 0:0:39"
"0:11:6, 0:6:36, 0:8:30, 0:7:24, 0:8:3"
"0:4:1, 0:3:15, 0:9:10, 0:4:53, 0:3:25"
"0:0:39, 0:0:40, 0:0:39, 0:0:39, 0:0:40"
"0:7:36, 0:8:7, 0:7:20, 0:6:37, 0:7:22"
"0:3:58, 0:4:58, 0:7:3, 0:11:41, 0:3:57"
"0:0:39, 0:0:40, 0:0:41, 0:0:39, 0:0:39"
"0:7:43, 0:7:14, 0:6:18, 0:8:59, 0:6:7"
"0:7:41, 0:4:36, 0:6:36, 0:3:52, 0:10:39"
"0:3:5, 0:8:9, 0:2:45, 0:4:39, 0:9:15"
"0:4:11, 0:5:4, 0:4:30, 0:4:45, 0:4:33"
"0:7:43, 0:4:55, 0:4:55, 0:4:46, 0:4:58"
"0:4:55, 0:4:54, 0:6:15, 0:4:54, 0:4:21"
"0:25:11, 0:25:13, 0:25:11, 0:24:51, 0:25:19"
"0:22:18, 0:22:1, 0:22:39, 0:22:9, 0:20:58"
"0:0:45, 0:0:46, 0:1:5"
"0:13:40, 0:14:9, 0:13:37"
